Dataset,VIF Baseline,VIF FROID (Raw Outlier),VIF Proposed (GPD)
ecoli1,2.4220784072911443,2.4567308470311406,2.431573065597744
yeast1,1.1754851850830026,1.2372800218052609,1.2158322336789729
haberman,1.0158747098739738,1.7072697198369702,1.562961410673533
glass1,69.76715321563567,63.40241982094498,63.70528804150389
